id,full_table_name,column_name,metric_name,metric_value,source_value,bucket_start,bucket_end,bucket_duration_hours,updated_at,dimension,dimension_value,metric_properties,created_at
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed"".""grouped_transactions_unioned_with_original""",POSTGRES.TRANSFORMED.GROUPED_TRANSACTIONS_UNIONED_WITH_ORIGINAL,,row_count,0,,,,,2024-02-14 12:14:58.000000,,,,2024-02-14 12:14:58.976453
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""data_monitoring_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DATA_MONITORING_METRICS,,build_timestamp,1707909364.203075,,,,,2024-02-14 12:16:04.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""data_monitoring_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DATA_MONITORING_METRICS,,row_count,34,,,,,2024-02-14 12:16:04.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_invocations""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_INVOCATIONS,,build_timestamp,1707909369.267277,,,,,2024-02-14 12:16:10.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_invocations""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_INVOCATIONS,,row_count,1,,,,,2024-02-14 12:16:10.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_run_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_RUN_RESULTS,,build_timestamp,1707909370.265339,,,,,2024-02-14 12:16:10.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_run_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_RUN_RESULTS,,row_count,41,,,,,2024-02-14 12:16:10.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_exposures""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_EXPOSURES,,build_timestamp,1707909370.591321,,,,,2024-02-14 12:16:11.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_exposures""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_EXPOSURES,,row_count,0,,,,,2024-02-14 12:16:11.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_METRICS,,build_timestamp,1707909371.298425,,,,,2024-02-14 12:16:11.000000,,,,2024-02-14 12:16:17.629464
